Date,Stress Score,Sleep Score,bed time,wake up,REM,,Light,,Deep,,segmentation,resting_heart_rate
2023/8/20,73,88,02:01,11:20,1,38,4,24,2,3,2,63
2023/8/21,67,64,04:20,07:53,0,29,1,55,0,37,2,63
2023/8/22,73,73,04:28,08:30,0,50,1,59,0,39,1,64
2023/8/23,65,82,22:29,07:28,1,7,5,22,1,9,2,65
2023/8/24,67,64,03:36,07:46,0,37,2,32,0,24,2,65
2023/8/25,73,68,03:53,07:51,0,27,2,5,0,52,2,62
2023/8/26,,83,03:41,13:23,1,22,6,6,1,3,1,62
2023/8/27,69,83,03:08,11:36,0,32,5,35,1,17,1,62
2023/8/28,,77,02:18,08:18,0,39,3,39,0,54,1,63
2023/8/29,,85,19:58,07:05,1,54,6,18,1,26,1,63
2023/8/30,73,78,01:51,07:53,1,9,3,21,0,50,1,61
2023/8/31,70,66,03:55,07:51,0,23,1,50,1,8,1,63
2023/9/1,70,80,01:53,07:52,1,10,3,8,1,3,1,65
2023/9/2,68,86,02:57,12:28,1,18,4,50,1,58,2,66
2023/9/3,74,84,04:49,12:41,1,15,3,50,1,45,1,66
2023/9/4,68,76,03:58,07:48,0,22,2,3,0,52,3,67
2023/9/5,69,,,,,,,,,,,
2023/9/6,75,70,03:36,07:54,0,56,2,4,0,36,2,65
2023/9/7,,,,,,,,,,,,
2023/9/8,72,68,03:24,06:24,0,28,1,22,0,46,1,66
2023/9/9,79,85,03:02,10:06,1,16,3,42,1,14,1,68
2023/9/10,,,,,,,,,,,,
2023/9/11,,77,01:15,07:35,0,45,3,49,1,1,2,66
2023/9/12,81,71,02:34,07:51,0,45,3,10,0,29,1,68
2023/9/13,85,80,01:36,07:53,1,2,3,41,0,54,3,66
2023/9/14,79,71,02:08,07:55,0,50,2,55,1,13,1,64
2023/9/15,77,78,01:51,07:50,0,54,2,43,1,40,4,63
2023/9/16,76,83,04:08,12:59,0,57,5,11,1,27,2,62
2023/9/17,,91,02:27,13:38,2,35,5,10,2,4,1,62
2023/9/18,62,72,03:04,07:53,0,27,2,57,0,50,2,63
2023/9/19,63,68,03:32,07:53,0,43,2,35,0,23,2,63
2023/9/20,64,65,04:00,07:49,0,36,2,4,0,38,4,64
2023/9/21,,55,19:30,22:40,0,0,2,2,0,26,1,64
